,Marital status,Application mode,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
517,single,2nd phase,basic education,daytime,Finished High School,Finished High School,Finished High School,Unskilled Workers,Adminstrative Staff,yes,no,no,yes,female,no,23,no,0,6,10,5,12.8,0,0,6,9,3,11.666666666666666,0,10.8,1.4,1.74,Dropout
518,divorced,Over 23 years old,social service (evening),evening,Some High School,Some High School,Unknown,Student,Student,no,no,no,yes,female,no,48,no,0,6,11,1,10.0,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
519,single,2nd phase,basic education,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,23,no,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,Dropout
520,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,female,yes,18,no,0,8,8,7,12.61,0,0,8,8,7,12.61,0,10.8,1.4,1.74,Graduate
521,single,2nd phase,equiniculture,daytime,Finished High School,Other Degree,Some High School,Science & Intellectual Specialists,Unskilled Workers,no,no,no,yes,female,no,18,no,0,5,14,2,12.0,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
522,single,International student (bachelor),social service,daytime,Finished High School,Other Degree,Elementary School,Science & Intellectual Specialists,Machine Operators & Assembly Workers,yes,no,no,no,female,no,20,yes,0,6,9,5,13.0,0,0,6,7,6,13.5,0,13.9,-0.3,0.79,Graduate
523,single,3rd phase,vetinary nursing,daytime,Finished High School,Finished High School,Finished High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,18,yes,0,5,9,4,12.0,0,0,5,8,5,13.0,0,10.8,1.4,1.74,Graduate
524,single,1st phase -- general contingent,oral hygiene,daytime,Finished High School,Postgraduate Degree,Other Degree,Executive Managers,Executive Managers,yes,no,no,yes,female,no,18,yes,0,7,8,4,12.0,0,0,8,8,0,0.0,0,16.2,0.3,-0.92,Dropout
525,single,Change in course,informatics engineering,daytime,Finished High School,Finished High School,Finished High School,Unskilled Workers,Intermediate Level Technicians & Professions,no,no,no,yes,male,no,31,no,0,5,12,1,12.0,0,0,5,9,1,11.0,4,16.2,0.3,-0.92,Dropout
526,single,Over 23 years old,informatics engineering,daytime,Some High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,24,no,0,5,9,1,12.0,0,0,5,6,3,10.5,0,10.8,1.4,1.74,Enrolled
527,single,Over 23 years old,animation and multimedia design,daytime,Finished High School,Other Degree,Finished High School,Science & Intellectual Specialists,Armed Forces,yes,no,no,yes,male,no,24,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
528,single,Over 23 years old,management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,yes,no,male,no,26,no,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
529,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,yes,no,yes,yes,male,no,18,no,0,6,11,5,13.625,0,0,6,9,4,11.75,0,16.2,0.3,-0.92,Dropout
530,single,2nd phase,management,daytime,Finished High School,General commerce course,Elementary School,Adminstrative Staff,Skilled Industry,no,no,no,yes,male,yes,19,no,0,5,12,3,11.666666666666666,0,0,5,10,3,11.666666666666666,0,12.7,3.7,-1.7,Enrolled
531,single,2nd phase,advertising and marketing management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,male,no,22,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
532,single,1st phase -- general contingent,nursing,daytime,Finished High School,Postgraduate Degree,Bachelor's Degree,Science & Intellectual Specialists,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,18,no,0,8,8,7,11.69,0,0,8,8,7,11.69,0,10.8,1.4,1.74,Graduate
533,single,Technological specialization diploma holders,communication design,daytime,Technical Course,Finished High School,Some High School,Adminstrative Staff,Skilled Industry,no,no,yes,no,male,no,20,no,0,6,11,0,0.0,6,0,6,12,0,0.0,12,16.2,0.3,-0.92,Dropout
534,single,Technological specialization diploma holders,animation and multimedia design,daytime,Technical Course,Postgraduate Degree,Postgraduate Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,yes,male,no,25,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Graduate
535,single,Change in course,management (evening),evening,Finished High School,Other Degree,Other Degree,Adminstrative Staff,Adminstrative Staff,yes,no,no,yes,male,no,24,no,0,5,10,4,11.5,0,0,5,11,5,11.285714285714286,0,13.9,-0.3,0.79,Graduate
536,single,Over 23 years old,informatics engineering,daytime,Finished High School,Other Degree,Other Degree,Adminstrative Staff,Adminstrative Staff,yes,no,no,yes,male,no,27,no,0,5,10,1,14.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
537,single,2nd phase,tourism,daytime,Finished High School,Other Degree,Some High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,male,no,21,no,0,6,7,5,11.0,0,0,6,7,5,12.4,0,15.5,2.8,-4.06,Graduate
538,single,Technological specialization diploma holders,argonomy,daytime,Technical Course,General commerce course,Middle School,Intermediate Level Technicians & Professions,Unskilled Workers,yes,no,no,yes,male,no,21,no,0,6,7,6,12.857142857142858,0,0,6,6,6,13.166666666666666,0,12.4,0.5,1.79,Graduate
539,single,3rd phase,journalism and communication,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,19,no,0,6,9,4,12.5,0,0,6,6,6,11.333333333333334,0,10.8,1.4,1.74,Dropout
540,single,Over 23 years old,nursing,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",no,no,no,yes,male,no,28,no,0,7,7,7,14.528571428571428,0,0,8,11,8,15.018181818181818,0,16.2,0.3,-0.92,Graduate
541,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Skilled Industry,no,no,no,yes,male,no,20,no,0,5,8,5,10.0,0,0,5,10,2,12.0,0,7.6,2.6,0.32,Enrolled
542,single,Technological specialization diploma holders,argonomy,daytime,Technical Course,Finished High School,Some High School,Adminstrative Staff,Armed Forces,no,no,no,yes,male,yes,21,no,0,6,8,6,13.0,0,0,6,10,6,12.625,0,15.5,2.8,-4.06,Graduate
543,single,1st phase -- general contingent,nursing,daytime,Finished High School,Finished High School,Finished High School,"Personal Services, Security & Safety Workers",Intermediate Level Technicians & Professions,no,no,no,yes,male,yes,18,no,0,7,7,7,15.957142857142856,0,0,8,9,8,15.188888888888888,0,16.2,0.3,-0.92,Graduate
544,single,2nd phase,informatics engineering,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Armed Forces,yes,no,no,yes,male,yes,18,no,0,5,6,5,13.2,0,0,5,8,5,12.6,0,8.9,1.4,3.51,Enrolled
545,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers",Armed Forces,no,no,no,yes,male,no,20,no,0,5,9,4,10.2,0,0,5,6,3,11.0,0,15.5,2.8,-4.06,Enrolled
546,single,Over 23 years old,informatics engineering,daytime,Postgraduate Degree,Finished High School,Finished High School,"Personal Services, Security & Safety Workers",Armed Forces,no,no,no,yes,male,no,25,no,2,5,6,5,14.2,0,1,5,5,2,13.5,0,16.2,0.3,-0.92,Enrolled
547,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Skilled Farmers,no,no,yes,yes,male,no,22,no,0,6,8,6,12.625,0,0,6,11,2,14.5,0,11.1,0.6,2.02,Enrolled
548,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,18,no,0,8,11,6,13.496666666666668,1,0,8,11,6,13.496666666666668,1,9.4,-0.8,-3.12,Enrolled
549,single,2nd phase,management,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Skilled Industry,yes,no,no,yes,male,no,19,no,0,5,8,5,13.25,0,0,5,8,5,11.0,0,13.9,-0.3,0.79,Graduate
550,single,1st phase -- general contingent,informatics engineering,daytime,Finished High School,Some High School,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,19,no,0,5,12,3,12.0,0,0,5,10,3,12.0,0,12.4,0.5,1.79,Dropout
551,single,Over 23 years old,journalism and communication,daytime,Some High School,General commerce course,Finished High School,Skilled Industry,Unskilled Workers,yes,no,yes,no,male,no,25,no,0,6,10,4,13.0,0,0,6,9,4,13.75,0,12.7,3.7,-1.7,Dropout
552,single,Change in course,communication design,daytime,Finished High School,Some High School,Some High School,Executive Managers,Armed Forces,no,no,yes,yes,male,no,21,no,5,11,12,9,11.77777777777778,0,3,8,11,3,13.666666666666666,0,15.5,2.8,-4.06,Dropout
553,single,2nd phase,informatics engineering,daytime,Finished High School,Finished High School,Bachelor's Degree,Intermediate Level Technicians & Professions,Science & Intellectual Specialists,yes,no,no,yes,male,no,19,no,0,5,10,2,11.0,0,0,6,10,0,0.0,0,11.1,0.6,2.02,Dropout
554,single,2nd phase,management,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,male,no,20,no,0,5,14,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
555,single,Technological specialization diploma holders,argonomy,daytime,Technical Course,Other Degree,Bachelor's Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,yes,male,no,25,no,9,14,16,14,12.428571428571429,0,3,9,13,6,10.857142857142858,0,15.5,2.8,-4.06,Dropout
556,single,2nd phase,management,daytime,Finished High School,General commerce course,Finished High School,Skilled Industry,Adminstrative Staff,yes,no,no,yes,male,no,20,no,0,5,8,3,11.0,0,0,5,11,3,12.0,0,10.8,1.4,1.74,Enrolled
557,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
558,single,Technological specialization diploma holders,tourism,daytime,Technical Course,Unknown,Technical Course,Personal care workers,Unskilled Wokers in Mining,yes,no,yes,yes,male,no,23,no,0,6,12,3,11.5,0,0,6,12,3,10.666666666666666,0,8.9,1.4,3.51,Enrolled
559,single,Transfer,nursing,daytime,Finished High School,Finished High School,Other Degree,Unskilled Workers,Armed Forces,yes,no,no,yes,male,no,23,no,0,8,8,8,12.5075,0,0,8,8,8,12.5075,0,9.4,-0.8,-3.12,Graduate
560,single,Short cycle diploma holders,argonomy,daytime,Technical Course,Other Degree,Middle School,Health Professionals,Personal Service Workers,no,no,no,yes,male,no,21,no,7,12,18,11,12.090909090909092,0,5,12,14,11,12.0,0,8.9,1.4,3.51,Graduate
561,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,Finished High School,Finished High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,yes,no,no,yes,male,no,20,no,0,5,14,2,11.0,3,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
562,single,Over 23 years old,management (evening),evening,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Armed Forces,no,no,no,yes,male,no,25,no,0,5,13,1,10.0,0,0,5,8,2,11.333333333333334,0,12.4,0.5,1.79,Dropout
563,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,18,no,0,6,6,6,13.5,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Graduate
564,single,1st phase -- general contingent,communication design,daytime,Frequency of Higher Education,Finished High School,Finished High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,22,no,0,6,6,6,14.166666666666666,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
565,single,Over 23 years old,advertising and marketing management,daytime,Finished High School,General commerce course,Some High School,Intermediate Level Technicians & Professions,Unskilled Workers,no,no,no,yes,male,no,27,no,0,6,7,6,14.0,0,0,6,7,6,14.714285714285714,0,8.9,1.4,3.51,Graduate
566,single,Over 23 years old,argonomy,daytime,Some High School,Postgraduate Degree,Finished High School,Science & Intellectual Specialists,Adminstrative Staff,no,no,no,yes,male,no,25,no,0,3,4,0,0.0,0,0,3,5,0,0.0,0,16.2,0.3,-0.92,Dropout
567,single,2nd phase,informatics engineering,daytime,Finished High School,Some High School,Elementary School,Student,"Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,18,no,0,5,9,3,11.666666666666666,0,0,5,10,3,11.333333333333334,4,7.6,2.6,0.32,Dropout
568,single,2nd phase,vetinary nursing,daytime,Finished High School,General commerce course,Some High School,Machine Operators & Assembly Workers,Machine Operators & Assembly Workers,no,no,no,yes,male,no,20,no,0,5,7,5,14.6,1,0,5,5,5,14.2,0,12.7,3.7,-1.7,Graduate
569,single,Over 23 years old,argonomy,daytime,Finished High School,Other Degree,Postgraduate Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,no,yes,male,no,27,no,0,6,10,5,13.0,0,0,6,13,5,11.5,0,16.2,0.3,-0.92,Graduate
570,single,1st phase -- general contingent,social service (evening),evening,Finished High School,Finished High School,Finished High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,20,no,0,6,7,6,12.166666666666666,0,0,6,9,6,12.0,0,7.6,2.6,0.32,Graduate
571,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,22,no,0,5,9,0,0.0,0,0,5,5,1,12.0,0,7.6,2.6,0.32,Dropout
572,single,2nd phase,informatics engineering,daytime,Finished High School,General commerce course,Other Degree,"Personal Services, Security & Safety Workers",Armed Forces,yes,no,no,yes,male,no,19,no,0,5,10,3,10.5,0,0,5,11,3,10.8,0,12.4,0.5,1.79,Dropout
573,single,1st phase -- general contingent,management,daytime,Finished High School,Other Degree,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",no,no,no,yes,male,no,20,no,0,5,14,3,12.4,0,0,5,8,5,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
574,single,Change in course,animation and multimedia design,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Armed Forces,no,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
575,married,Over 23 years old,vetinary nursing,daytime,Some High School,Finished High School,Finished High School,Adminstrative Staff,Adminstrative Staff,yes,no,no,no,male,no,29,no,0,5,12,0,0.0,4,0,5,8,0,0.0,1,9.4,-0.8,-3.12,Dropout
576,single,1st phase -- general contingent,nursing,daytime,Finished High School,Other Degree,Finished High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,no,19,no,0,8,8,7,13.828571428571427,0,0,8,8,7,13.828571428571427,0,12.7,3.7,-1.7,Graduate
577,single,Over 23 years old,management (evening),evening,Finished High School,General commerce course,Elementary School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,female,yes,28,no,0,5,7,5,10.6,0,0,5,6,5,10.2,0,9.4,-0.8,-3.12,Enrolled
578,married,1st phase -- general contingent,social service,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",no,no,no,yes,female,no,20,no,0,6,7,6,11.5,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,Graduate
579,single,1st phase -- general contingent,communication design,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,female,no,20,no,0,6,6,4,13.5,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
580,single,Over 23 years old,social service (evening),evening,Finished High School,Some High School,Postgraduate Degree,Student,Executive Managers,yes,no,no,yes,female,no,31,no,0,6,12,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
581,single,2nd phase,nursing,daytime,Finished High School,Some High School,Finished High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,18,no,0,7,8,7,12.5375,0,0,8,9,7,12.614285714285714,0,13.9,-0.3,0.79,Graduate
582,single,2nd phase,advertising and marketing management,daytime,Finished High School,Finished High School,Some High School,Machine Operators & Assembly Workers,Skilled Industry,yes,no,no,yes,female,no,19,no,0,6,6,6,14.833333333333334,0,0,6,8,6,13.285714285714286,0,8.9,1.4,3.51,Enrolled
583,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,female,no,18,no,0,5,10,4,12.0,0,0,5,9,4,12.8,0,13.9,-0.3,0.79,Graduate
584,single,2nd phase,tourism,daytime,Finished High School,General commerce course,Elementary School,Skilled Industry,Skilled Industry,no,no,no,yes,female,no,19,no,0,6,8,5,11.8,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Graduate
585,single,1st phase -- general contingent,management,daytime,Finished High School,Finished High School,Some High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,no,no,no,yes,female,yes,18,no,0,5,5,5,15.0,0,0,5,5,5,15.2,0,12.7,3.7,-1.7,Graduate
586,single,2nd phase,vetinary nursing,daytime,Finished High School,General commerce course,Some High School,Other Situation,Other Situation,no,no,no,yes,female,no,19,no,0,5,7,3,12.0,0,0,5,7,5,13.2,0,7.6,2.6,0.32,Graduate
587,single,2nd phase,journalism and communication,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,female,yes,18,no,0,6,6,6,12.833333333333334,0,0,6,7,6,12.285714285714286,0,15.5,2.8,-4.06,Graduate
588,single,1st phase -- general contingent,tourism,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,19,no,0,6,12,6,11.666666666666666,0,0,6,14,3,12.0,0,7.6,2.6,0.32,Graduate
589,single,1st phase -- general contingent,oral hygiene,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers",Adminstrative Staff,no,no,no,yes,female,no,19,no,0,7,9,7,12.1625,0,0,8,8,8,13.825,0,13.9,-0.3,0.79,Graduate
590,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,18,no,0,6,6,6,13.833333333333334,0,0,6,11,6,14.555555555555555,0,10.8,1.4,1.74,Graduate
591,single,1st phase -- general contingent,nursing,daytime,Finished High School,Other Degree,Some High School,Science & Intellectual Specialists,Machine Operators & Assembly Workers,no,no,no,yes,female,no,19,no,0,7,12,4,12.45,0,0,7,11,5,11.7,0,16.2,0.3,-0.92,Enrolled
592,single,Technological specialization diploma holders,advertising and marketing management,daytime,Technical Course,General commerce course,Finished High School,Unskilled Workers,Adminstrative Staff,no,no,no,yes,female,yes,20,no,2,6,9,6,12.125,0,2,6,7,6,13.571428571428571,0,11.1,0.6,2.02,Graduate
593,single,2nd phase,advertising and marketing management,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,Machine Operators & Assembly Workers,yes,no,no,yes,female,no,20,no,0,6,8,5,13.4,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
594,single,2nd phase,argonomy,daytime,Finished High School,General commerce course,Elementary School,Adminstrative Staff,Skilled Farmers,no,no,yes,yes,female,no,20,no,0,6,8,6,13.333333333333334,0,0,6,8,5,14.0,0,11.1,0.6,2.02,Enrolled
595,single,Over 23 years old,management (evening),evening,Other Degree,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,29,no,10,15,15,11,11.454545454545457,0,9,13,16,11,11.545454545454543,0,10.8,1.4,1.74,Dropout
596,single,2nd phase,basic education,daytime,Finished High School,General commerce course,Some High School,Skilled Industry,Student,no,no,no,no,female,yes,20,no,0,6,10,4,12.0,0,0,6,14,3,10.0,0,7.6,2.6,0.32,Dropout
597,divorced,Over 23 years old,basic education,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Armed Forces,no,no,yes,no,female,no,31,no,0,7,8,6,12.666666666666666,0,0,7,9,5,12.6,0,8.9,1.4,3.51,Dropout
598,single,2nd phase,advertising and marketing management,daytime,Finished High School,General commerce course,Elementary School,Skilled Industry,Adminstrative Staff,no,yes,no,yes,female,no,20,no,0,6,7,6,12.666666666666666,0,0,6,9,6,13.77777777777778,0,10.8,1.4,1.74,Graduate
599,single,2nd phase,argonomy,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,21,no,12,18,22,18,11.88888888888889,1,11,13,13,13,11.461538461538462,0,15.5,2.8,-4.06,Graduate
600,single,Holders of other higher courses,equiniculture,daytime,Other Degree,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,23,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
601,single,2nd phase,communication design,daytime,Finished High School,General commerce course,Middle School,"Personal Services, Security & Safety Workers",Skilled Industry,no,no,yes,no,female,no,21,no,0,6,6,4,13.0,0,0,6,8,4,11.6,0,10.8,1.4,1.74,Dropout
602,single,Holders of other higher courses,nursing,daytime,Postgraduate Degree,Finished High School,Finished High School,Unskilled Workers,Adminstrative Staff,no,no,no,yes,female,no,24,no,4,7,7,7,16.885714285714283,0,3,8,9,8,15.744444444444444,0,16.2,0.3,-0.92,Graduate
603,single,Over 23 years old,social service (evening),evening,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,female,no,27,no,0,6,6,6,12.5,0,1,6,6,6,12.333333333333334,0,15.5,2.8,-4.06,Graduate
604,single,1st phase -- general contingent,nursing,daytime,Finished High School,Finished High School,Elementary School,Intermediate Level Technicians & Professions,Machine Operators & Assembly Workers,no,no,no,yes,female,yes,18,no,0,7,9,7,13.055555555555555,0,0,8,8,8,15.8125,0,13.9,-0.3,0.79,Graduate
605,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Some High School,Finished High School,Skilled Farmers,Skilled Farmers,yes,no,no,no,female,no,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
606,single,2nd phase,equiniculture,daytime,Finished High School,General commerce course,Other Degree,Intermediate Level Technicians & Professions,Science & Intellectual Specialists,yes,no,yes,yes,female,yes,19,no,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
607,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Some High School,Skilled Industry,Skilled Industry,yes,no,no,yes,female,yes,19,no,0,8,8,7,12.355714285714283,0,0,8,8,7,12.355714285714283,0,10.8,1.4,1.74,Graduate
608,single,2nd phase,vetinary nursing,daytime,Finished High School,General commerce course,Middle School,Personal care workers,Unskilled Wokers in Mining,no,no,no,yes,female,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
609,single,Change in course,nursing,daytime,Finished High School,General commerce course,Elementary School,Skilled Farmers,"Personal Services, Security & Safety Workers",yes,no,no,yes,female,yes,18,no,0,7,8,5,11.98,0,0,7,8,5,11.98,0,7.6,2.6,0.32,Enrolled
610,single,1st phase -- general contingent,basic education,daytime,Finished High School,General commerce course,Elementary School,Other Adminstrative Support Staff,Assembly Workers,yes,no,yes,yes,female,yes,20,no,0,7,7,7,13.857142857142858,0,0,7,8,7,12.571428571428571,0,8.9,1.4,3.51,Graduate
611,married,1st phase -- general contingent,social service (evening),evening,Finished High School,Finished High School,Elementary School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,female,no,24,no,0,6,9,5,13.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate
612,single,1st phase -- general contingent,communication design,daytime,Finished High School,Finished High School,Finished High School,Executive Managers,Executive Managers,yes,no,no,yes,female,no,20,no,0,6,6,6,12.833333333333334,0,0,6,10,6,11.166666666666666,0,12.4,0.5,1.79,Graduate
613,single,2nd phase,management,daytime,Finished High School,Finished High School,Some High School,"Personal Services, Security & Safety Workers",Skilled Industry,no,no,no,yes,female,no,20,no,0,5,11,4,11.0,0,0,5,7,5,13.2,0,12.4,0.5,1.79,Enrolled
614,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,19,no,0,8,8,7,12.357142857142858,0,0,8,8,7,12.357142857142858,0,12.7,3.7,-1.7,Graduate
615,single,1st phase -- general contingent,nursing,daytime,Finished High School,Finished High School,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.857142857142858,0,0,8,8,7,13.857142857142858,0,12.7,3.7,-1.7,Graduate
616,single,2nd phase,social service,daytime,Other Degree,General commerce course,Elementary School,Skilled Industry,Machine Operators & Assembly Workers,yes,no,no,yes,female,yes,20,no,0,6,6,6,12.333333333333334,0,0,6,6,6,10.666666666666666,0,9.4,-0.8,-3.12,Graduate
617,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,no,yes,female,no,20,no,0,7,8,7,12.847142857142858,0,0,8,10,8,13.788888888888888,0,16.2,0.3,-0.92,Graduate
618,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Elementary School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,female,yes,19,no,0,7,9,6,12.339999999999998,0,0,8,9,8,13.01875,0,11.1,0.6,2.02,Graduate
619,single,Technological specialization diploma holders,vetinary nursing,daytime,Technical Course,Other Degree,Finished High School,Science & Intellectual Specialists,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,19,no,0,6,10,5,12.666666666666666,0,0,6,19,4,11.75,0,12.4,0.5,1.79,Enrolled
620,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,Other Degree,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,20,no,0,6,6,6,13.833333333333334,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
621,single,2nd phase,management,daytime,Finished High School,Finished High School,Middle School,Adminstrative Staff,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,19,no,0,5,15,2,10.75,0,0,5,11,2,10.0,0,13.9,-0.3,0.79,Dropout
622,single,2nd phase,basic education,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Skilled Industry,yes,no,no,yes,female,no,19,no,0,6,11,4,13.25,0,0,6,10,4,10.25,0,9.4,-0.8,-3.12,Dropout
